law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,3,0.028037383177570093,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,0,0.0,Конфискация,4,Конфискация
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,104,0.9719626168224299,Штраф,1,Штраф
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.6. Нарушение порядка ценообразования,14.06,12,0.05128205128205128,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Конфискация,4,Конфискация
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.6. Нарушение порядка ценообразования,14.06,222,0.9487179487179487,Штраф,1,Штраф
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Конфискация,4,Конфискация
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,724,1.0,Штраф,1,Штраф
Статья 19.14. Утратила силу,19.14,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 19.14. Утратила силу,19.14,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 19.14. Утратила силу,19.14,0,0.0,Конфискация,4,Конфискация
Статья 19.14. Утратила силу,19.14,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 19.14. Утратила силу,19.14,506,1.0,Штраф,1,Штраф
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Конфискация,4,Конфискация
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 8.17. Нарушение регламентирующих деятельность во внутренних морских водах, в территориальном море, на континентальном шельфе, в исключительной экономической зоне Российской Федерации или открытом море требований или условий лицензии",8.17,969,1.0,Штраф,1,Штраф
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,7,0.00021208907741251324,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Конфискация,4,Конфискация
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 7.19. Самовольное подключение и использование электрической, тепловой энергии, нефти или газа",7.19,32998,0.9997879109225875,Штраф,1,Штраф
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,1,4.9348598499802604e-05,Конфискация,4,Конфискация
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 14.2. Незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена",14.02,20263,0.9999506514015002,Штраф,1,Штраф
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,0,0.0,Конфискация,4,Конфискация
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,12,0.0784313725490196,Приостановление деятельности,2,Приостановление деятельности
Статья 7.6. Самовольное занятие водного объекта или пользование им с нарушением установленных условий,7.06,141,0.9215686274509803,Штраф,1,Штраф
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Конфискация,4,Конфискация
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.26. Нарушение правил обращения с ломом и отходами цветных и черных металлов и их отчуждения,14.26,5932,1.0,Штраф,1,Штраф
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.19. Несоблюдение таможенной процедуры,16.19,8,0.13559322033898305,Конфискация,4,Конфискация
Статья 16.19. Несоблюдение таможенной процедуры,16.19,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.19. Несоблюдение таможенной процедуры,16.19,51,0.864406779661017,Штраф,1,Штраф
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,0,0.0,Конфискация,4,Конфискация
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 13.5. Нарушение правил охраны линий или сооружений связи,13.05,51,1.0,Штраф,1,Штраф
Статья 20.4. Нарушение требований пожарной безопасности,20.04,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 20.4. Нарушение требований пожарной безопасности,20.04,1,0.001669449081803005,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 20.4. Нарушение требований пожарной безопасности,20.04,0,0.0,Конфискация,4,Конфискация
Статья 20.4. Нарушение требований пожарной безопасности,20.04,1,0.001669449081803005,Приостановление деятельности,2,Приостановление деятельности
Статья 20.4. Нарушение требований пожарной безопасности,20.04,597,0.996661101836394,Штраф,1,Штраф
"Статья 14.5. Продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники",14.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 14.5. Продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники",14.05,6,0.07692307692307693,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 14.5. Продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники",14.05,0,0.0,Конфискация,4,Конфискация
"Статья 14.5. Продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники",14.05,50,0.6410256410256411,Приостановление деятельности,2,Приостановление деятельности
"Статья 14.5. Продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники",14.05,22,0.28205128205128205,Штраф,1,Штраф
"Статья 9.2. Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",9.02,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 9.2. Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",9.02,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 9.2. Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",9.02,0,0.0,Конфискация,4,Конфискация
"Статья 9.2. Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",9.02,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 9.2. Нарушение требований к обеспечению безопасности гидротехнических сооружений, установленных законодательством Российской Федерации",9.02,24,1.0,Штраф,1,Штраф
Статья 14.7. Обман потребителей,14.07,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.7. Обман потребителей,14.07,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.7. Обман потребителей,14.07,0,0.0,Конфискация,4,Конфискация
Статья 14.7. Обман потребителей,14.07,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.7. Обман потребителей,14.07,73,1.0,Штраф,1,Штраф
"Статья 14.10. Незаконное использование средств индивидуализации товаров (работ, услуг)",14.10,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 14.10. Незаконное использование средств индивидуализации товаров (работ, услуг)",14.10,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 14.10. Незаконное использование средств индивидуализации товаров (работ, услуг)",14.10,4,0.0015704750687082843,Конфискация,4,Конфискация
"Статья 14.10. Незаконное использование средств индивидуализации товаров (работ, услуг)",14.10,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 14.10. Незаконное использование средств индивидуализации товаров (работ, услуг)",14.10,2543,0.9984295249312917,Штраф,1,Штраф
Статья 14.37. Нарушения требований к установке и (или) эксплуатации рекламной конструкции,14.37,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.37. Нарушения требований к установке и (или) эксплуатации рекламной конструкции,14.37,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.37. Нарушения требований к установке и (или) эксплуатации рекламной конструкции,14.37,0,0.0,Конфискация,4,Конфискация
Статья 14.37. Нарушения требований к установке и (или) эксплуатации рекламной конструкции,14.37,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.37. Нарушения требований к установке и (или) эксплуатации рекламной конструкции,14.37,1598,1.0,Штраф,1,Штраф
Статья 19.21. Несоблюдение порядка государственной регистрации прав на недвижимое имущество или сделок с ним,19.21,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 19.21. Несоблюдение порядка государственной регистрации прав на недвижимое имущество или сделок с ним,19.21,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 19.21. Несоблюдение порядка государственной регистрации прав на недвижимое имущество или сделок с ним,19.21,0,0.0,Конфискация,4,Конфискация
Статья 19.21. Несоблюдение порядка государственной регистрации прав на недвижимое имущество или сделок с ним,19.21,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 19.21. Несоблюдение порядка государственной регистрации прав на недвижимое имущество или сделок с ним,19.21,64,1.0,Штраф,1,Штраф
Статья 8.39. Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,8.39,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 8.39. Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,8.39,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 8.39. Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,8.39,0,0.0,Конфискация,4,Конфискация
Статья 8.39. Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,8.39,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 8.39. Нарушение правил охраны и использования природных ресурсов на особо охраняемых природных территориях,8.39,609,1.0,Штраф,1,Штраф
Статья 7.27.1. Причинение имущественного ущерба путем обмана или злоупотребления доверием,7.27,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 7.27.1. Причинение имущественного ущерба путем обмана или злоупотребления доверием,7.27,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 7.27.1. Причинение имущественного ущерба путем обмана или злоупотребления доверием,7.27,0,0.0,Конфискация,4,Конфискация
Статья 7.27.1. Причинение имущественного ущерба путем обмана или злоупотребления доверием,7.27,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 7.27.1. Причинение имущественного ущерба путем обмана или злоупотребления доверием,7.27,1446,1.0,Штраф,1,Штраф
Статья 14.27. Нарушение законодательства о лотереях,14.27,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.27. Нарушение законодательства о лотереях,14.27,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.27. Нарушение законодательства о лотереях,14.27,0,0.0,Конфискация,4,Конфискация
Статья 14.27. Нарушение законодательства о лотереях,14.27,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.27. Нарушение законодательства о лотереях,14.27,36,1.0,Штраф,1,Штраф
Статья 14.15. Нарушение правил продажи отдельных видов товаров,14.15,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.15. Нарушение правил продажи отдельных видов товаров,14.15,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.15. Нарушение правил продажи отдельных видов товаров,14.15,0,0.0,Конфискация,4,Конфискация
Статья 14.15. Нарушение правил продажи отдельных видов товаров,14.15,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.15. Нарушение правил продажи отдельных видов товаров,14.15,44,1.0,Штраф,1,Штраф
"Статья 7.5. Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",7.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 7.5. Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",7.05,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 7.5. Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",7.05,0,0.0,Конфискация,4,Конфискация
"Статья 7.5. Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",7.05,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 7.5. Самовольная добыча янтаря, нефрита или иных полудрагоценных камней",7.05,73,1.0,Штраф,1,Штраф
Статья 14.13. Неправомерные действия при банкротстве,14.13,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.13. Неправомерные действия при банкротстве,14.13,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.13. Неправомерные действия при банкротстве,14.13,0,0.0,Конфискация,4,Конфискация
Статья 14.13. Неправомерные действия при банкротстве,14.13,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.13. Неправомерные действия при банкротстве,14.13,33,1.0,Штраф,1,Штраф
Статья 14.48. Представление недостоверных результатов исследований (испытаний),14.48,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.48. Представление недостоверных результатов исследований (испытаний),14.48,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.48. Представление недостоверных результатов исследований (испытаний),14.48,0,0.0,Конфискация,4,Конфискация
Статья 14.48. Представление недостоверных результатов исследований (испытаний),14.48,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.48. Представление недостоверных результатов исследований (испытаний),14.48,70,1.0,Штраф,1,Штраф
Статья 14.47. Нарушение правил выполнения работ по сертификации,14.47,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.47. Нарушение правил выполнения работ по сертификации,14.47,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.47. Нарушение правил выполнения работ по сертификации,14.47,0,0.0,Конфискация,4,Конфискация
Статья 14.47. Нарушение правил выполнения работ по сертификации,14.47,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.47. Нарушение правил выполнения работ по сертификации,14.47,71,1.0,Штраф,1,Штраф
"Статья 19.6. Непринятие мер по устранению причин и условий, способствовавших совершению административного правонарушения",19.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.6. Непринятие мер по устранению причин и условий, способствовавших совершению административного правонарушения",19.06,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.6. Непринятие мер по устранению причин и условий, способствовавших совершению административного правонарушения",19.06,0,0.0,Конфискация,4,Конфискация
"Статья 19.6. Непринятие мер по устранению причин и условий, способствовавших совершению административного правонарушения",19.06,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.6. Непринятие мер по устранению причин и условий, способствовавших совершению административного правонарушения",19.06,4900,1.0,Штраф,1,Штраф
Статья 7.27. Мелкое хищение,7.27,49476,0.3831309627059844,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 7.27. Мелкое хищение,7.27,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 7.27. Мелкое хищение,7.27,0,0.0,Конфискация,4,Конфискация
Статья 7.27. Мелкое хищение,7.27,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 7.27. Мелкое хищение,7.27,79660,0.6168690372940157,Штраф,1,Штраф
Статья 15.3. Нарушение срока постановки на учет в налоговом органе,15.03,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 15.3. Нарушение срока постановки на учет в налоговом органе,15.03,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 15.3. Нарушение срока постановки на учет в налоговом органе,15.03,0,0.0,Конфискация,4,Конфискация
Статья 15.3. Нарушение срока постановки на учет в налоговом органе,15.03,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 15.3. Нарушение срока постановки на учет в налоговом органе,15.03,139,1.0,Штраф,1,Штраф
Статья 15.7. Нарушение порядка открытия счета налогоплательщику,15.07,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 15.7. Нарушение порядка открытия счета налогоплательщику,15.07,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 15.7. Нарушение порядка открытия счета налогоплательщику,15.07,0,0.0,Конфискация,4,Конфискация
Статья 15.7. Нарушение порядка открытия счета налогоплательщику,15.07,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 15.7. Нарушение порядка открытия счета налогоплательщику,15.07,26,1.0,Штраф,1,Штраф
Статья 7.17. Уничтожение или повреждение чужого имущества,7.17,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 7.17. Уничтожение или повреждение чужого имущества,7.17,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 7.17. Уничтожение или повреждение чужого имущества,7.17,0,0.0,Конфискация,4,Конфискация
Статья 7.17. Уничтожение или повреждение чужого имущества,7.17,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 7.17. Уничтожение или повреждение чужого имущества,7.17,22009,1.0,Штраф,1,Штраф
Статья 15.5. Нарушение сроков представления налоговой декларации (расчета по страховым взносам),15.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 15.5. Нарушение сроков представления налоговой декларации (расчета по страховым взносам),15.05,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 15.5. Нарушение сроков представления налоговой декларации (расчета по страховым взносам),15.05,0,0.0,Конфискация,4,Конфискация
Статья 15.5. Нарушение сроков представления налоговой декларации (расчета по страховым взносам),15.05,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 15.5. Нарушение сроков представления налоговой декларации (расчета по страховым взносам),15.05,90052,1.0,Штраф,1,Штраф
"Статья 15.6. Непредставление (несообщение) сведений, необходимых для осуществления налогового контроля",15.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 15.6. Непредставление (несообщение) сведений, необходимых для осуществления налогового контроля",15.06,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 15.6. Непредставление (несообщение) сведений, необходимых для осуществления налогового контроля",15.06,0,0.0,Конфискация,4,Конфискация
"Статья 15.6. Непредставление (несообщение) сведений, необходимых для осуществления налогового контроля",15.06,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 15.6. Непредставление (несообщение) сведений, необходимых для осуществления налогового контроля",15.06,156624,1.0,Штраф,1,Штраф
